brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
18916,for_sale,250328,2,1,NULL,303294,"Fort Lauderdale",Florida,33305,725,43220
89851,for_sale,675000,2,1,0.21,,"Fort Lauderdale",Florida,33305,1380,35949
30807,for_sale,799000,3,3,0.22,461430,"Fort Lauderdale",Florida,33305,2327,
81319,for_sale,155000,1,1,NULL,198324,"Wilton Manors",Florida,33305,750,38635
24160,for_sale,269000,1,2,NULL,578456,"Wilton Manors",Florida,33305,750,43875
58713,for_sale,459000,2,2,NULL,699545,"Fort Lauderdale",Florida,33305,1425,42552
18916,for_sale,600328,3,2,0.14,35328,"Fort Lauderdale",Florida,33305,1471,34821
65393,for_sale,719000,2,2,0.18,,"Fort Lauderdale",Florida,33305,1411,
95341,for_sale,649000,3,2,0.15,526449,"Fort Lauderdale",Florida,33305,1485,43941
81010,for_sale,999501,4,3,0.23,850142,"Fort Lauderdale",Florida,33305,2180,
103279,for_sale,415000,2,2,NULL,699542,"Fort Lauderdale",Florida,33305,1425,36775
16829,for_sale,499999,2,2,NULL,1565035,"Wilton Manors",Florida,33305,1250,44182
54228,for_sale,850000,2,1,0.14,1726108,"Wilton Manors",Florida,33305,728,44530
70546,for_sale,989000,4,3,0.16,705951,"Wilton Manors",Florida,33305,2224,43928
54228,for_sale,489000,2,2,NULL,544603,"Fort Lauderdale",Florida,33305,1196,44564
28955,for_sale,6749000,5,7,0.24,937594,"Fort Lauderdale",Florida,33305,7534,33658
44767,for_sale,1999990,3,4,0.18,1793304,"Fort Lauderdale",Florida,33305,4008,44483
18916,for_sale,1200000,3,2,0.23,815644,"Fort Lauderdale",Florida,33305,1974,36432
30807,for_sale,1499950,2,3,0.18,683367,"Wilton Manors",Florida,33305,2551,34396
339,for_sale,245000,1,1,NULL,236992,"Wilton Manors",Florida,33305,750,41260
54228,for_sale,999000,3,2,0.16,678448,"Wilton Manors",Florida,33305,1468,
53364,for_sale,829000,3,2,0.17,485596,"Fort Lauderdale",Florida,33305,1463,42089
58713,for_sale,750000,2,2,NULL,657550,"Fort Lauderdale",Florida,33305,1404,41471
8010,for_sale,2150000,3,3,NULL,657547,"Fort Lauderdale",Florida,33305,2341,
70271,for_sale,3589000,5,6,0.23,878314,"Fort Lauderdale",Florida,33305,4425,42978
30807,for_sale,2500000,4,4,0.22,772567,"Fort Lauderdale",Florida,33305,3223,44236
30807,for_sale,7300000,8,9,0.21,932001,"Fort Lauderdale",Florida,33305,6893,44377
49002,for_sale,1400000,3,3,0.29,1233336,"Wilton Manors",Florida,33305,2240,41982
16829,for_sale,2450000,3,3,0.21,1018604,"Fort Lauderdale",Florida,33305,2208,43496
70271,for_sale,2499000,4,3,0.23,858256,"Fort Lauderdale",Florida,33305,3350,43907
5121,for_sale,1985000,3,3,NULL,663950,"Fort Lauderdale",Florida,33305,2623,41501
18916,for_sale,900000,4,4,NULL,449496,"Fort Lauderdale",Florida,33305,2318,41187
28392,for_sale,9500000,3,4,0.41,865538,"Fort Lauderdale",Florida,33305,5298,35312
75851,for_sale,1999000,3,3,0.21,769759,"Fort Lauderdale",Florida,33305,1908,41379
65375,for_sale,1675000,3,2,0.2,702467,"Fort Lauderdale",Florida,33305,2111,35115
102235,for_sale,2510092,3,4,0.25,864381,"Fort Lauderdale",Florida,33305,2014,44225
54228,for_sale,2500000,3,3,0.29,813755,"Wilton Manors",Florida,33305,1994,44517
28955,for_sale,585000,2,2,0.17,660035,"Fort Lauderdale",Florida,33308,1977,42249
58865,for_sale,199999,1,1,1.65,1160392,"Lauderdale By The Sea",Florida,33308,660,36195
4341,for_sale,190000,1,1,NULL,1013329,"Fort Lauderdale",Florida,33308,800,
24161,for_sale,285000,2,2,NULL,1125008,"Fort Lauderdale",Florida,33308,1145,
58713,for_sale,280000,2,2,NULL,1013333,"Fort Lauderdale",Florida,33308,1350,
76502,for_sale,219900,2,2,NULL,720695,"Fort Lauderdale",Florida,33308,1100,33547
18916,for_sale,559999,2,2,NULL,1042893,"Fort Lauderdale",Florida,33308,1635,38128
